Адрес|Статус|Кадастровый номер|GUID дома|GUID ФИАС|ОКТМО|Способ управления|ОГРН УО|Управляющая организация|Тип дома|Состояние|Общая площадь|Жилая площадь|Дата сноса|Помещений всего|КВ|НЖ|ММ|ОИ|ЛК|ЧКВ|ERR|Квартир с комнатами
196602, Санкт-Петербург г, г. Пушкин, ул. Сапёрная, д. 16, литер А|МКД|78:42:0018238:5405|1745260d-b12b-4207-87e8-75ed3e475179|a1ceccdd-894b-478a-86ee-af50996074f2|40397000|УО|1089847259391|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛКОМСЕРВИС № 1 ПУШКИНСКОГО РАЙОНА"""|Многоквартирный|Исправный|2178.4000|2178.4||36|36|0|0|0|0|3|0|1
196602, Санкт-Петербург г, г. Пушкин, ул. Сапёрная, д. 17, литер А|МКД|78:42:1820803:3003|15483b0d-ac62-4715-8115-8ecef8bd95bf|9dd6941a-39ac-49b3-a24d-4d215f49bd87|40397000|УО|1089847259391|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛКОМСЕРВИС № 1 ПУШКИНСКОГО РАЙОНА"""|Многоквартирный|Исправный|440.9000|340.9||7|6|1|0|0|0|2|0|1
196602, Санкт-Петербург г, г. Пушкин, ул. Сапёрная, д. 18, литер А|МКД|78:42:0018238:5406|3ec3bf44-e485-40f8-850a-218a717d891e|e92a57a5-943e-4f94-8b7f-fd902a084d2d|40397000|УО|1089847259391|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛКОМСЕРВИС № 1 ПУШКИНСКОГО РАЙОНА"""|Многоквартирный|Исправный|709.6000|703.3||15|14|1|0|0|0|5|0|2
196602, Санкт-Петербург г, г. Пушкин, ул. Сапёрная, д. 19, литер А|МКД|78:42:1820803:3004|86aa40b4-a3a8-41a4-b24e-18c4a4f6d157|53d1cb4d-8ebb-4aae-86c3-4d6da1a49a01|40397000|УО|1089847259391|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛКОМСЕРВИС № 1 ПУШКИНСКОГО РАЙОНА"""|Многоквартирный|Исправный|1217.3000|805.9||19|16|3|0|0|0|2|0|1
196602, Санкт-Петербург г, г. Пушкин, ул. Сапёрная, д. 1, литер А|МКД|78:42:1820803:3018|65be1b83-1449-4fe9-a376-7263726aa7fa|6acafccd-4539-4ab3-8023-cf0cfbebda97|40397000|Не выбран|||Жилой|Исправный|40.9000|||0|0|0|0|0|0|0|0|0
196602, Санкт-Петербург г, г. Пушкин, ул. Сапёрная, д. 20/32, литер А|МКД|78:42:1820706:2083|9767e87f-a464-4809-8781-a7d1558ab29d|fb16e43d-f91c-4b53-b825-9a8560e5e96c|40397000|УО|1089847259391|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛКОМСЕРВИС № 1 ПУШКИНСКОГО РАЙОНА"""|Многоквартирный|Исправный|904.2000|904.2||16|16|0|0|0|0|0|0|0
196602, Санкт-Петербург г, г. Пушкин, ул. Сапёрная, д. 22, литер А|МКД|78:42:0018238:5407|9bc096ae-367b-4f85-bd59-707effa7eddf|f253798b-62ad-4dec-85be-e8f26ba8ee67|40397000|УО|1089847259391|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛКОМСЕРВИС № 1 ПУШКИНСКОГО РАЙОНА"""|Многоквартирный|Исправный|1290.3000|1290.3||26|26|0|0|0|0|0|0|0
196602, Санкт-Петербург г, г. Пушкин, ул. Сапёрная, д. 23, корп. 2, литер А|МКД||97580731-5f24-4685-8a3e-73f3dece20e2|b485a94e-9b6b-4364-9ff4-d7cdbfb2f293|40397000|Не выбран|||Жилой|Исправный|336.4000|||0|0|0|0|0|0|0|0|0
196602, Санкт-Петербург г, г. Пушкин, ул. Сапёрная, д. 23, литер А|МКД||0da53466-2371-4d6c-9a5e-ec69b3b06d6f|2807d22a-373d-458d-88fa-0099c373c09d|40397000|Не выбран|||Жилой|Исправный|99.8000|||0|0|0|0|0|0|0|0|0
196602, Санкт-Петербург г, г. Пушкин, ул. Сапёрная, д. 24, литер А|МКД|78:42:0018238:5408|9510942a-302d-4c0a-a29e-7d634cc0886d|e750c727-abd0-4ef8-8dc3-d5bc9165ee52|40397000|УО|1089847259391|"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖИЛКОМСЕРВИС № 1 ПУШКИНСКОГО РАЙОНА"""|Многоквартирный|Исправный|1592.1000|1592.1||33|33|0|0|0|0|4|0|2
